"k" "Time" "Sk"
1 0 1
2 0 1
3 0.0126582278481013 0.998759689922481
4 0.0253164556962025 0.998759689922481
5 0.0379746835443038 0.997519379844961
6 0.0379746835443038 0.997519379844961
7 0.0506329113924051 0.982635658914729
8 0.0506329113924051 0.982635658914729
9 0.0632911392405063 0.981395348837209
10 0.20253164556962 0.981395348837209
11 0.215189873417722 0.978914728682171
12 0.215189873417722 0.978914728682171
13 0.227848101265823 0.976434108527132
14 0.69620253164557 0.976434108527132
15 0.708860759493671 0.973953488372093
16 1.73417721518987 0.973953488372093
17 1.74683544303797 0.972713178294574
18 1.77215189873418 0.972713178294574
19 1.78481012658228 0.967751937984496
20 1.88607594936709 0.967751937984496
21 1.89873417721519 0.947906976744186
22 1.93670886075949 0.947906976744186
23 1.94936708860759 0.942945736434108
24 1.94936708860759 0.942945736434108
25 1.9620253164557 0.90077519379845
26 1.9620253164557 0.90077519379845
27 1.9746835443038 0.89953488372093
28 1.9746835443038 0.89953488372093
29 1.9873417721519 0.883410852713178
30 1.9873417721519 0.883410852713178
31 2 0.882170542635659
32 2.11392405063291 0.882170542635659
33 2.12658227848101 0.880930232558139
34 2.12658227848101 0.880930232558139
35 2.13924050632911 0.87968992248062
36 2.13924050632911 0.87968992248062
37 2.15189873417722 0.849922480620155
38 2.81012658227848 0.849922480620155
39 2.82278481012658 0.82015503875969
40 2.83544303797468 0.82015503875969
41 2.84810126582278 0.818914728682171
42 2.86075949367089 0.818914728682171
43 2.87341772151899 0.816434108527132
44 3.43037974683544 0.816434108527132
45 3.44303797468354 0.805271317829457
46 3.44303797468354 0.805271317829457
47 3.45569620253165 0.804031007751938
48 3.48101265822785 0.804031007751938
49 3.49367088607595 0.786666666666667
50 3.49367088607595 0.786666666666667
51 3.50632911392405 0.785426356589147
52 3.64556962025316 0.785426356589147
53 3.65822784810127 0.781705426356589
54 3.65822784810127 0.781705426356589
55 3.67088607594937 0.78046511627907
56 3.87341772151899 0.78046511627907
57 3.88607594936709 0.750697674418605
58 3.88607594936709 0.750697674418605
59 3.89873417721519 0.749457364341085
60 6 0.749457364341085
61 6.0126582278481 0.746976744186046
62 6.9873417721519 0.746976744186046
63 7 0.715968992248062
64 7 0.715968992248062
65 7.0126582278481 0.714728682170543
66 7.88607594936709 0.714728682170543
67 7.89873417721519 0.713488372093023
68 12.5189873417722 0.713488372093023
69 12.5316455696203 0.706046511627907
70 12.5316455696203 0.706046511627907
71 12.5443037974684 0.656434108527132
72 12.5569620253165 0.656434108527132
73 12.5696202531646 0.655193798449612
74 31.3291139240506 0.655193798449612
75 31.3417721518987 0.652713178294574
76 31.3544303797468 0.652713178294574
