"time"	"n.risk"	"n.event"	"n.censored"
11.0350877192982	39	1	0
11.0350877192982	38	0	0
11.0526315789474	38	0	0
11.0526315789474	38	0	0
11.0701754385965	38	0	0
11.0877192982456	38	0	0
11.1052631578947	38	1	0
11.1052631578947	37	0	0
11.1228070175439	37	0	0
11.1228070175439	37	0	0
11.140350877193	37	0	0
11.140350877193	37	0	0
11.1578947368421	37	0	0
11.1754385964912	37	0	0
11.1929824561404	37	0	0
11.2280701754386	37	0	0
11.2456140350877	37	1	1
11.859649122807	35	0	0
11.8771929824561	35	0	0
11.8947368421053	35	0	0
11.9122807017544	35	2	0
12.8421052631579	33	0	0
12.859649122807	33	0	0
12.859649122807	33	0	0
12.8771929824561	33	0	0
12.9122807017544	33	0	0
12.9298245614035	33	1	0
12.9298245614035	32	0	0
12.9473684210526	32	1	0
12.9649122807018	31	0	0
12.9824561403509	31	0	0
12.9824561403509	31	0	0
13	31	1	0
13	30	0	0
13.0175438596491	30	0	0
13.0175438596491	30	0	0
13.0350877192982	30	0	0
13.0350877192982	30	0	0
13.0526315789474	30	0	5
15.5614035087719	25	0	0
15.578947368421	25	1	0
15.578947368421	24	0	0
15.5964912280702	24	0	1
16.280701754386	23	0	0
16.2982456140351	23	0	0
16.2982456140351	23	0	0
16.3157894736842	23	0	0
16.3157894736842	23	0	0
16.3333333333333	23	0	0
16.4035087719298	23	0	0
16.4210526315789	23	1	0
16.4210526315789	22	0	0
16.4385964912281	22	0	0
16.4385964912281	22	0	0
16.4561403508772	22	0	0
16.4736842105263	22	0	0
16.4912280701754	22	0	0
16.4912280701754	22	0	0
16.5087719298246	22	0	0
16.5087719298246	22	0	0
16.5263157894737	22	0	1
16.7719298245614	21	0	0
16.7894736842105	21	1	0
16.7894736842105	20	0	0
16.8070175438596	20	0	0
16.8070175438596	20	0	0
16.8245614035088	20	0	0
16.8245614035088	20	0	0
16.8421052631579	20	0	7
20.1052631578947	13	0	2
20.1228070175439	11	1	0
20.1228070175439	10	0	0
20.140350877193	10	0	0
20.140350877193	10	0	0
20.1578947368421	10	0	0
20.1578947368421	10	0	0
20.1754385964912	10	0	0
20.1754385964912	10	0	0
20.1929824561403	10	0	0
20.2105263157895	10	0	0
20.2280701754386	10	0	3
23.8070175438596	7	0	0
23.8245614035088	7	0	0
23.8245614035088	7	0	0
23.8421052631579	7	0	0
23.8421052631579	7	0	0
23.859649122807	7	1	0
23.8947368421053	6	0	0
23.9122807017544	6	0	2
31.4736842105263	4	0	1
31.4912280701754	3	0	1
31.6140350877193	2	0	0
31.6315789473684	2	0	0
31.6666666666667	2	0	0
